time;proto;src_ip;src_port;dst_ip;dst_port;flags;length
15:34:04.766656;IP;BP-Linux8;22;192.168.190.130;50019;P.;108
15:34:04.766694;IP;BP-Linux8;22;192.168.190.130;50019;P.;36
15:34:04.766723;IP;BP-Linux8;22;192.168.190.130;50019;P.;108
15:34:04.766744;IP;BP-Linux8;22;192.168.190.130;50019;P.;36
15:34:04.785366;IP;192.168.190.130;50019;BP-Linux8;22;.;0
15:34:04.785384;IP;192.168.190.130;50019;BP-Linux8;22;.;0
15:34:04.785406;IP;192.168.190.130;50019;BP-Linux8;22;.;0
15:34:04.785454;IP;192.168.190.130;50019;BP-Linux8;22;.;0
15:34:06.669393;IP;192.168.190.130;50245;BP-Linux8;22;P.;36
15:34:06.669906;IP;BP-Linux8;22;192.168.190.130;50245;P.;36
15:34:06.681188;IP;BP-Linux8;22;192.168.190.130;50245;P.;116
15:34:06.681222;IP;BP-Linux8;22;192.168.190.130;50245;P.;36
15:34:06.681248;IP;190-0-175-100.gba.solunet.com.ar;2465;184.107.43.74;80;S;120:
15:34:06.681274;IP;190-0-175-100.gba.solunet.com.ar;2466;184.107.43.74;80;S;120:
15:34:06.681294;IP;190-0-175-100.gba.solunet.com.ar;2467;184.107.43.74;80;S;120:
15:34:06.681312;IP;190-0-175-100.gba.solunet.com.ar;2468;184.107.43.74;80;S;120:
15:34:06.681328;IP;190-0-175-100.gba.solunet.com.ar;2469;184.107.43.74;80;S;120:
15:34:06.681345;IP;190-0-175-100.gba.solunet.com.ar;2470;184.107.43.74;80;S;120:
15:34:06.681362;IP;190-0-175-100.gba.solunet.com.ar;2471;184.107.43.74;80;S;120:
15:34:06.681379;IP;190-0-175-100.gba.solunet.com.ar;2472;184.107.43.74;80;S;120:
15:34:06.681396;IP;190-0-175-100.gba.solunet.com.ar;2473;184.107.43.74;80;S;120:
15:34:06.681413;IP;190-0-175-100.gba.solunet.com.ar;2474;184.107.43.74;80;S;120:
15:34:06.681430;IP;190-0-175-100.gba.solunet.com.ar;2475;184.107.43.74;80;S;120:
15:34:06.681446;IP;190-0-175-100.gba.solunet.com.ar;2476;184.107.43.74;80;S;120:
15:34:06.681463;IP;190-0-175-100.gba.solunet.com.ar;2477;184.107.43.74;80;S;120:
15:34:06.681480;IP;190-0-175-100.gba.solunet.com.ar;2478;184.107.43.74;80;S;120:
15:34:06.681497;IP;190-0-175-100.gba.solunet.com.ar;2479;184.107.43.74;80;S;120:
15:34:06.681514;IP;190-0-175-100.gba.solunet.com.ar;2480;184.107.43.74;80;S;120:
15:34:06.681531;IP;190-0-175-100.gba.solunet.com.ar;2481;184.107.43.74;80;S;120:
